,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
2180,36,No,Travel_Frequently,Sales,16,2,Life Sciences,1,2181,Male,1,Research Scientist,Married,12810,2.0,Y,11,8,0,17.0,2,15,6,13
2181,48,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,2182,Male,2,Research Scientist,Single,28190,1.0,Y,20,8,0,11.0,2,10,0,8
2182,27,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2183,Female,2,Laboratory Technician,Married,48510,8.0,Y,18,8,0,5.0,2,1,0,0
2183,51,No,Travel_Rarely,Research & Development,4,1,Medical,1,2184,Female,3,Manufacturing Director,Single,40280,3.0,Y,14,8,0,29.0,3,5,0,3
2184,18,No,Non-Travel,Research & Development,1,4,Medical,1,2185,Male,2,Sales Executive,Single,27200,1.0,Y,22,8,1,0.0,2,0,0,0
2185,35,No,Travel_Rarely,Research & Development,1,4,Other,1,2186,Female,2,Research Director,Married,81200,0.0,Y,13,8,0,10.0,2,9,0,0
2186,27,No,Travel_Frequently,Research & Development,26,4,Medical,1,2187,Female,1,Research Director,Single,46470,3.0,Y,17,8,0,8.0,3,6,0,0
2188,56,No,Travel_Rarely,Research & Development,24,4,Life Sciences,1,2189,Male,2,Laboratory Technician,Married,32210,4.0,Y,15,8,2,33.0,2,19,15,9
2189,34,No,Non-Travel,Sales,1,2,Life Sciences,1,2190,Male,2,Research Scientist,Divorced,86210,1.0,Y,17,8,1,5.0,1,5,0,0
2190,40,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,2191,Male,2,Sales Executive,Divorced,45770,5.0,Y,11,8,1,15.0,3,12,11,8
2191,34,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,2192,Male,1,Research Scientist,Married,45530,4.0,Y,18,8,1,10.0,2,8,7,7
2194,38,No,Travel_Frequently,Research & Development,7,3,Medical,1,2195,Female,2,Sales Representative,Divorced,76250,1.0,Y,15,8,0,4.0,2,4,0,3
2195,34,No,Travel_Rarely,Research & Development,10,4,Other,1,2196,Female,2,Laboratory Technician,Single,74120,1.0,Y,24,8,0,14.0,4,14,4,11
2196,28,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2197,Female,2,Healthcare Representative,Married,111590,1.0,Y,12,8,0,5.0,2,5,0,4
2198,39,No,Travel_Rarely,Research & Development,17,4,Technical Degree,1,2199,Female,2,Healthcare Representative,Married,104750,3.0,Y,11,8,1,8.0,3,5,1,4
2199,51,No,Travel_Frequently,Research & Development,20,3,Medical,1,2200,Male,2,Sales Executive,Married,148140,2.0,Y,11,8,1,14.0,2,4,3,2
2200,41,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,2201,Male,4,Sales Executive,Divorced,191410,3.0,Y,12,8,1,12.0,2,6,3,3
2201,37,No,Travel_Rarely,Research & Development,2,2,Medical,1,2202,Female,1,Healthcare Representative,Married,54050,7.0,Y,15,8,0,8.0,3,6,1,3
2202,33,No,Travel_Frequently,Research & Development,2,3,Medical,1,2203,Female,1,Sales Executive,Married,87930,6.0,Y,17,8,0,8.0,2,5,1,2
2203,32,No,Travel_Rarely,Research & Development,1,4,Medical,1,2204,Male,5,Research Director,Married,191890,0.0,Y,12,8,1,4.0,3,3,1,2
2204,39,No,Non-Travel,Research & Development,29,2,Life Sciences,1,2205,Male,2,Sales Executive,Married,38750,3.0,Y,15,8,0,13.0,3,6,0,5
2205,25,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,2206,Male,1,Sales Executive,Married,22160,2.0,Y,13,8,3,6.0,2,3,1,2
2206,52,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,2207,Male,2,Sales Executive,Married,117130,2.0,Y,14,8,0,24.0,2,5,0,2
2207,43,No,Travel_Rarely,Research & Development,2,2,Medical,1,2208,Male,1,Laboratory Technician,Single,78610,1.0,Y,14,8,2,20.0,1,20,1,8
2208,27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,2209,Male,1,Human Resources,Married,37080,1.0,Y,16,8,2,6.0,2,6,4,4
2210,26,No,Travel_Rarely,Research & Development,2,2,Other,1,2211,Male,3,Laboratory Technician,Single,53040,0.0,Y,20,8,1,5.0,2,4,1,1
2211,42,No,Travel_Rarely,Sales,23,3,Marketing,1,2212,Female,3,Research Scientist,Married,26420,0.0,Y,13,8,1,21.0,3,20,0,9
2212,52,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,2213,Female,1,Healthcare Representative,Married,27590,9.0,Y,18,8,1,12.0,6,5,0,4
2213,37,No,Travel_Rarely,Research & Development,20,5,Life Sciences,1,2214,Male,2,Manager,Single,68040,4.0,Y,13,8,1,8.0,1,3,0,2
2214,35,No,Travel_Frequently,Research & Development,6,4,Medical,1,2215,Female,2,Research Director,Single,61420,2.0,Y,15,8,1,10.0,2,2,2,2
2215,25,No,Travel_Rarely,Research & Development,1,4,Medical,1,2216,Male,2,Sales Executive,Married,25000,4.0,Y,14,8,2,7.0,2,3,0,2
2216,26,No,Travel_Rarely,Research & Development,29,4,Life Sciences,1,2217,Male,1,Research Scientist,Single,63890,0.0,Y,22,8,0,8.0,2,7,0,7
2217,29,No,Travel_Rarely,Sales,9,3,Life Sciences,1,2218,Male,1,Laboratory Technician,Single,111030,1.0,Y,12,8,0,10.0,5,10,0,9
2220,54,No,Travel_Rarely,Sales,1,3,Medical,1,2221,Female,2,Manager,Single,22970,6.0,Y,18,8,2,29.0,2,20,12,7
2221,58,No,Travel_Rarely,Sales,22,3,Life Sciences,1,2222,Female,2,Laboratory Technician,Married,24500,3.0,Y,12,8,1,32.0,2,9,1,5
2222,55,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2223,Female,3,Research Scientist,Divorced,50930,2.0,Y,16,8,1,31.0,3,7,0,0
2223,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,2224,Male,2,Sales Executive,Single,53090,3.0,Y,13,8,0,15.0,5,5,0,1
2225,30,No,Travel_Rarely,Sales,3,3,Life Sciences,1,2226,Male,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,3,0,2
2226,31,No,Travel_Rarely,Research & Development,1,3,Medical,1,2227,Male,1,Laboratory Technician,Single,168560,3.0,Y,12,8,1,9.0,3,3,1,0
2227,34,No,Travel_Frequently,Sales,2,1,Marketing,1,2228,Female,5,Manager,Divorced,26860,5.0,Y,11,8,0,10.0,3,4,1,3
2229,27,No,Travel_Rarely,Human Resources,11,4,Medical,1,2230,Male,4,Sales Executive,Married,66320,0.0,Y,16,8,0,6.0,3,5,1,4
2230,36,No,Travel_Rarely,Sales,1,3,Marketing,1,2231,Male,2,Research Scientist,Single,35050,1.0,Y,12,8,2,10.0,2,10,1,8
2231,36,No,Travel_Rarely,Research & Development,24,3,Other,1,2232,Female,3,Research Director,Married,63970,4.0,Y,14,8,1,11.0,3,3,0,2
2232,47,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,2233,Female,2,Sales Executive,Married,62740,7.0,Y,14,8,2,17.0,0,6,1,2
2234,37,No,Non-Travel,Sales,8,4,Medical,1,2235,Male,1,Healthcare Representative,Single,75870,0.0,Y,22,8,1,7.0,5,6,1,3
2235,56,No,Travel_Rarely,Research & Development,10,4,Other,1,2236,Male,2,Sales Representative,Married,42580,2.0,Y,16,8,0,5.0,2,3,1,0
2236,47,No,Travel_Rarely,Research & Development,3,2,Medical,1,2237,Male,2,Laboratory Technician,Married,43640,3.0,Y,11,8,1,26.0,3,20,5,6
2237,24,No,Travel_Rarely,Research & Development,5,1,Other,1,2238,Male,1,Manufacturing Director,Married,43350,1.0,Y,15,8,1,5.0,5,5,0,3
2238,32,No,Travel_Rarely,Sales,4,3,Marketing,1,2239,Male,1,Research Scientist,Married,53260,4.0,Y,14,8,1,7.0,2,4,0,3
2239,34,No,Travel_Rarely,Research & Development,9,2,Medical,1,2240,Male,1,Sales Executive,Married,32800,5.0,Y,13,8,0,7.0,3,5,0,2
2240,41,No,Travel_Rarely,Research & Development,26,3,Medical,1,2241,Female,3,Sales Executive,Married,54850,2.0,Y,17,8,2,7.0,2,4,0,3
2241,40,No,Non-Travel,Sales,3,2,Life Sciences,1,2242,Male,1,Sales Executive,Divorced,43420,3.0,Y,11,8,1,11.0,6,8,0,7
2242,31,No,Travel_Rarely,Research & Development,16,3,Medical,1,2243,Male,2,Human Resources,Divorced,27820,1.0,Y,19,8,1,13.0,5,13,9,9
2246,45,No,Travel_Rarely,Sales,10,2,Marketing,1,2247,Male,1,Sales Executive,Divorced,38330,2.0,Y,14,8,0,24.0,1,7,0,7
2247,31,No,Travel_Rarely,Research & Development,16,4,Life Sciences,1,2248,Male,3,Human Resources,Single,42440,9.0,Y,13,8,0,8.0,3,3,0,2
2249,45,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2250,Female,1,Research Scientist,Married,184300,4.0,Y,12,8,1,10.0,5,3,1,2
2250,48,No,Travel_Rarely,Research & Development,24,3,Technical Degree,1,2251,Male,2,Research Scientist,Divorced,16010,4.0,Y,12,8,0,15.0,3,2,2,2
2252,40,No,Non-Travel,Research & Development,25,4,Other,1,2253,Female,1,Sales Executive,Divorced,31490,2.0,Y,15,8,1,16.0,1,9,4,8
2253,28,No,Travel_Rarely,Research & Development,1,2,Technical Degree,1,2254,Female,1,Research Scientist,Single,176390,0.0,Y,13,8,1,6.0,0,5,1,3
2254,44,No,Non-Travel,Research & Development,5,3,Life Sciences,1,2255,Male,1,Laboratory Technician,Single,23190,3.0,Y,18,8,0,7.0,4,5,0,3
2255,53,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,2256,Male,2,Manager,Single,116910,4.0,Y,20,8,0,35.0,2,9,8,8
2256,49,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2257,Male,3,Laboratory Technician,Married,53240,2.0,Y,19,8,0,20.0,2,3,1,2
2257,40,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,2258,Male,3,Laboratory Technician,Divorced,167520,2.0,Y,18,8,1,8.0,3,3,1,2
2258,44,No,Travel_Rarely,Research & Development,5,1,Other,1,2259,Male,3,Research Scientist,Single,52280,1.0,Y,13,8,0,6.0,2,5,1,3
2259,33,No,Travel_Frequently,Human Resources,10,3,Medical,1,2260,Female,2,Sales Executive,Married,27000,0.0,Y,14,8,3,5.0,2,4,0,3
2260,34,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,2261,Female,1,Sales Representative,Single,192460,3.0,Y,15,8,1,15.0,5,13,3,12
2261,30,No,Travel_Rarely,Sales,1,2,Technical Degree,1,2262,Male,1,Laboratory Technician,Married,25060,8.0,Y,22,8,0,4.0,3,2,2,2
2262,42,No,Travel_Frequently,Research & Development,8,4,Medical,1,2263,Female,1,Sales Executive,Single,60620,1.0,Y,22,8,2,12.0,2,12,5,8
2263,44,No,Travel_Frequently,Research & Development,5,3,Life Sciences,1,2264,Female,5,Manufacturing Director,Married,43820,7.0,Y,16,8,2,11.0,2,1,0,0
2264,30,No,Non-Travel,Research & Development,8,3,Life Sciences,1,2265,Male,1,Manufacturing Director,Divorced,21430,1.0,Y,17,8,1,1.0,2,1,0,0
2265,57,No,Travel_Rarely,Sales,2,1,Life Sciences,1,2266,Male,3,Research Scientist,Married,61620,0.0,Y,14,8,0,13.0,5,12,2,8
2266,49,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,2267,Female,2,Sales Executive,Divorced,50940,3.0,Y,15,8,0,29.0,5,8,0,7
2267,34,No,Travel_Frequently,Research & Development,2,4,Medical,1,2268,Female,2,Sales Representative,Divorced,68770,7.0,Y,20,8,0,16.0,3,14,6,9
2271,35,No,Travel_Rarely,Sales,7,4,Other,1,2272,Female,4,Healthcare Representative,Married,25530,1.0,Y,14,8,1,1.0,4,1,0,0
2273,24,No,Non-Travel,Research & Development,10,3,Life Sciences,1,2274,Female,2,Manager,Married,51600,1.0,Y,17,8,1,1.0,3,1,0,0
2274,44,No,Travel_Frequently,Research & Development,5,2,Medical,1,2275,Female,2,Research Scientist,Single,171590,5.0,Y,22,8,1,16.0,1,2,2,2
2275,29,No,Travel_Rarely,Sales,10,2,Life Sciences,1,2276,Female,1,Sales Executive,Divorced,128080,1.0,Y,13,8,0,10.0,6,10,0,4
2276,30,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,2277,Male,3,Sales Executive,Divorced,102210,0.0,Y,19,8,1,6.0,2,5,1,3
2277,55,No,Travel_Rarely,Sales,20,3,Marketing,1,2278,Male,2,Research Scientist,Married,47790,0.0,Y,14,8,1,4.0,6,3,1,2
2278,33,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,2279,Male,2,Research Scientist,Married,37370,8.0,Y,22,8,2,8.0,2,5,0,2
2279,47,No,Travel_Rarely,Research & Development,8,4,Medical,1,2280,Female,2,Sales Representative,Married,23660,3.0,Y,17,8,0,11.0,5,5,1,2
2281,28,No,Travel_Rarely,Sales,8,4,Marketing,1,2282,Male,1,Laboratory Technician,Divorced,163070,1.0,Y,16,8,0,1.0,3,1,0,0
2282,28,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,2283,Female,2,Sales Executive,Single,59330,0.0,Y,11,8,0,5.0,3,4,1,3
2283,49,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,2284,Female,1,Research Scientist,Married,34240,4.0,Y,11,8,0,10.0,3,3,1,2
2284,29,No,Travel_Frequently,Research & Development,8,1,Medical,1,2285,Male,1,Research Scientist,Married,40370,0.0,Y,14,8,0,4.0,2,3,0,2
2285,28,No,Travel_Rarely,Research & Development,5,1,Technical Degree,1,2286,Male,2,Laboratory Technician,Married,25590,1.0,Y,11,8,0,8.0,3,8,1,7
2286,33,No,Travel_Rarely,Research & Development,15,4,Life Sciences,1,2287,Female,1,Sales Executive,Single,62010,2.0,Y,15,8,3,14.0,2,0,0,0
2287,32,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,2288,Female,3,Laboratory Technician,Single,44030,2.0,Y,20,8,0,10.0,3,5,0,0
2288,54,No,Travel_Frequently,Sales,10,3,Life Sciences,1,2289,Female,4,Research Scientist,Divorced,37610,3.0,Y,12,8,0,26.0,3,14,1,12
2290,44,No,Travel_Rarely,Sales,26,1,Marketing,1,2291,Male,1,Sales Representative,Married,107610,3.0,Y,11,8,1,24.0,5,20,14,17
2291,39,No,Travel_Rarely,Sales,6,1,Technical Degree,1,2292,Female,2,Laboratory Technician,Single,51750,4.0,Y,17,8,1,9.0,2,2,2,2
2292,46,No,Travel_Rarely,Research & Development,4,2,Life Sciences,1,2293,Male,3,Manufacturing Director,Married,138260,8.0,Y,11,8,0,23.0,1,13,5,1
2293,35,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,2294,Male,2,Research Scientist,Single,63340,1.0,Y,14,8,0,11.0,2,11,3,3
2294,23,No,Travel_Rarely,Research & Development,2,4,Medical,1,2295,Female,2,Manager,Single,49360,0.0,Y,19,8,1,5.0,2,4,1,2
2296,34,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,2297,Male,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,10,8,6
2298,50,No,Travel_Frequently,Research & Development,6,3,Medical,1,2299,Male,1,Manager,Single,23420,1.0,Y,12,8,1,32.0,2,32,13,9
2299,34,No,Travel_Rarely,Sales,25,5,Marketing,1,2300,Female,1,Research Scientist,Married,41940,0.0,Y,17,8,2,12.0,3,11,5,7
2300,42,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,2301,Female,1,Manufacturing Director,Married,106850,4.0,Y,11,8,3,4.0,2,1,0,0
2301,37,No,Travel_Rarely,Research & Development,2,2,Medical,1,2302,Male,1,Research Scientist,Married,20220,1.0,Y,12,8,0,10.0,1,10,3,7
2302,29,No,Travel_Rarely,Research & Development,1,3,Medical,1,2303,Female,1,Manager,Married,23140,3.0,Y,13,8,0,9.0,5,7,0,7
2303,33,No,Travel_Rarely,Research & Development,1,1,Life Sciences,1,2304,Male,1,Research Scientist,Single,42560,1.0,Y,13,8,3,5.0,1,5,0,2
2304,45,No,Travel_Rarely,Sales,3,3,Life Sciences,1,2305,Male,3,Laboratory Technician,Married,35800,4.0,Y,20,8,1,8.0,1,5,0,3
2305,42,No,Travel_Frequently,Human Resources,1,4,Technical Degree,1,2306,Male,2,Manufacturing Director,Married,31620,2.0,Y,17,8,2,24.0,1,20,13,9
2306,40,No,Travel_Rarely,Sales,10,1,Life Sciences,1,2307,Female,1,Manufacturing Director,Married,65240,0.0,Y,13,8,1,9.0,2,8,7,1
2307,33,No,Travel_Rarely,Research & Development,9,3,Medical,1,2308,Female,2,Manufacturing Director,Married,28990,1.0,Y,17,8,0,15.0,3,15,5,7
2308,40,No,Travel_Rarely,Sales,5,5,Life Sciences,1,2309,Male,1,Manufacturing Director,Single,52310,1.0,Y,12,8,2,21.0,4,21,7,7
2309,24,No,Travel_Rarely,Sales,10,2,Marketing,1,2310,Male,1,Manufacturing Director,Divorced,23560,0.0,Y,13,8,0,2.0,5,1,0,0
2310,40,No,Non-Travel,Research & Development,7,3,Medical,1,2311,Male,1,Research Scientist,Divorced,28000,3.0,Y,12,8,2,8.0,0,2,2,2
2311,45,No,Travel_Rarely,Research & Development,4,3,Medical,1,2312,Female,3,Laboratory Technician,Divorced,118360,1.0,Y,22,8,0,10.0,2,10,7,7
2312,35,No,Travel_Rarely,Research & Development,10,1,Life Sciences,1,2313,Male,1,Healthcare Representative,Married,109030,0.0,Y,11,8,0,6.0,3,5,4,2
2313,32,No,Travel_Rarely,Research & Development,22,4,Medical,1,2314,Male,1,Sales Executive,Married,29730,3.0,Y,22,8,0,12.0,0,7,2,5
2314,36,No,Travel_Rarely,Sales,9,3,Marketing,1,2315,Female,4,Research Scientist,Single,142750,3.0,Y,18,8,1,7.0,5,3,1,2
2315,48,No,Travel_Rarely,Research & Development,12,4,Medical,1,2316,Male,1,Laboratory Technician,Divorced,55620,8.0,Y,13,8,1,18.0,2,8,7,7
2316,29,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,2317,Female,2,Healthcare Representative,Married,45370,6.0,Y,18,8,1,5.0,5,1,0,0
2317,33,No,Travel_Rarely,Research & Development,9,1,Medical,1,2318,Male,1,Healthcare Representative,Married,76420,2.0,Y,20,8,1,8.0,2,2,2,2
2319,38,No,Travel_Frequently,Sales,9,3,Marketing,1,2320,Male,1,Manufacturing Director,Married,52040,3.0,Y,13,8,1,10.0,2,6,1,2
2320,35,No,Travel_Rarely,Sales,7,2,Life Sciences,1,2321,Male,1,Sales Executive,Single,22770,1.0,Y,12,8,1,3.0,2,3,1,2
2321,30,No,Travel_Rarely,Research & Development,14,3,Technical Degree,1,2322,Male,5,Research Director,Married,27950,3.0,Y,13,8,0,9.0,4,4,1,3
2325,32,No,Non-Travel,Research & Development,10,4,Life Sciences,1,2326,Female,5,Research Scientist,Married,23800,4.0,Y,13,8,0,9.0,5,6,1,2
2326,48,No,Travel_Rarely,Research & Development,2,5,Life Sciences,1,2327,Male,1,Sales Executive,Married,47650,8.0,Y,12,8,1,10.0,4,8,7,6
2327,34,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,2328,Male,2,Sales Executive,Single,20440,1.0,Y,11,8,0,1.0,2,1,0,0
2328,55,No,Travel_Rarely,Research & Development,11,1,Medical,1,2329,Female,1,Laboratory Technician,Married,26930,1.0,Y,18,8,0,36.0,6,36,2,13
2329,34,No,Travel_Rarely,Research & Development,2,2,Life Sciences,1,2330,Male,2,Research Scientist,Married,65860,9.0,Y,18,8,1,9.0,3,2,2,1
2330,26,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,2331,Male,1,Research Director,Married,32940,1.0,Y,11,8,0,1.0,6,1,0,0
2331,38,No,Travel_Rarely,Sales,14,2,Marketing,1,2332,Female,1,Sales Executive,Married,41710,0.0,Y,23,8,0,10.0,4,9,7,7
2332,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2333,Female,1,Manufacturing Director,Single,27780,2.0,Y,13,8,0,8.0,5,3,1,2
2333,36,No,Travel_Rarely,Human Resources,1,3,Human Resources,1,2334,Male,1,Research Scientist,Single,23770,6.0,Y,13,8,2,15.0,3,1,0,0
2334,29,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,2335,Male,1,Sales Representative,Single,24040,1.0,Y,17,8,0,10.0,3,10,1,5
2335,35,No,Travel_Rarely,Sales,12,2,Life Sciences,1,2336,Female,2,Sales Executive,Single,23180,3.0,Y,19,8,0,10.0,4,5,0,4
2336,39,No,Travel_Rarely,Sales,2,2,Medical,1,2337,Female,1,Sales Executive,Married,20080,2.0,Y,12,8,0,11.0,3,7,7,6
2337,29,No,Travel_Frequently,Research & Development,5,1,Medical,1,2338,Female,1,Research Scientist,Divorced,62440,1.0,Y,22,8,0,6.0,3,6,1,3
2338,50,No,Travel_Rarely,Research & Development,4,2,Medical,1,2339,Female,1,Laboratory Technician,Married,27990,4.0,Y,12,8,1,27.0,0,1,0,0
2339,23,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,2340,Female,3,Manager,Married,105520,2.0,Y,11,8,0,4.0,2,2,2,2
2340,36,No,Travel_Frequently,Sales,21,3,Life Sciences,1,2341,Male,2,Human Resources,Married,23290,3.0,Y,15,8,0,9.0,2,3,0,2
2341,42,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,2342,Female,5,Manager,Single,40140,8.0,Y,13,8,1,24.0,3,1,0,1
2342,35,No,Travel_Rarely,Sales,4,3,Medical,1,2343,Female,2,Laboratory Technician,Married,74030,1.0,Y,12,8,1,10.0,4,10,6,8
2343,34,No,Travel_Frequently,Research & Development,25,1,Life Sciences,1,2344,Female,1,Manager,Married,22590,1.0,Y,14,8,0,8.0,2,8,7,7
2344,40,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2345,Male,2,Laboratory Technician,Married,69320,1.0,Y,13,8,0,5.0,5,5,1,2
2345,43,No,Travel_Rarely,Research & Development,1,1,Other,1,2346,Male,1,Manager,Divorced,46780,5.0,Y,25,8,1,8.0,0,6,0,2
2346,35,No,Travel_Rarely,Sales,6,3,Marketing,1,2347,Female,3,Sales Representative,Married,135820,1.0,Y,17,8,1,1.0,3,1,0,1
2347,46,No,Travel_Rarely,Research & Development,12,4,Technical Degree,1,2348,Male,1,Laboratory Technician,Single,23320,1.0,Y,11,8,0,27.0,2,26,0,12
2349,22,No,Non-Travel,Sales,17,2,Marketing,1,2350,Male,3,Sales Executive,Married,97050,1.0,Y,18,8,2,4.0,3,4,1,3
2350,50,No,Travel_Frequently,Research & Development,3,3,Other,1,2351,Male,2,Research Scientist,Married,42940,2.0,Y,20,8,0,32.0,2,30,12,13
2351,32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,2352,Male,3,Research Scientist,Married,47210,3.0,Y,14,8,1,6.0,3,3,0,2
2352,44,No,Travel_Rarely,Research & Development,10,3,Technical Degree,1,2353,Male,3,Manager,Divorced,25190,0.0,Y,21,8,2,23.0,2,22,1,10
2353,30,No,Travel_Rarely,Research & Development,4,3,Medical,1,2354,Female,1,Research Director,Married,21210,1.0,Y,13,8,1,6.0,2,6,1,1
2354,45,No,Travel_Rarely,Sales,29,2,Technical Degree,1,2355,Female,2,Research Scientist,Single,29730,1.0,Y,12,8,0,10.0,2,10,1,4
2355,45,No,Non-Travel,Sales,2,4,Life Sciences,1,2356,Male,2,Manufacturing Director,Married,58550,1.0,Y,14,8,1,10.0,3,10,4,5
2356,31,No,Travel_Frequently,Research & Development,7,3,Medical,1,2357,Male,2,Research Scientist,Single,36170,7.0,Y,21,8,1,10.0,5,5,0,3
2357,36,No,Travel_Rarely,Research & Development,18,1,Medical,1,2358,Male,2,Manufacturing Director,Married,67250,9.0,Y,17,8,1,7.0,3,3,1,1
2358,34,No,Travel_Frequently,Sales,28,4,Marketing,1,2359,Male,5,Manufacturing Director,Divorced,103250,1.0,Y,11,8,1,9.0,3,9,7,2
2359,49,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,2360,Male,3,Healthcare Representative,Married,69490,1.0,Y,14,8,1,10.0,2,9,1,4
2360,39,No,Travel_Rarely,Research & Development,6,2,Life Sciences,1,2361,Male,3,Research Scientist,Married,106090,2.0,Y,17,8,1,10.0,2,7,7,7
2361,27,No,Travel_Rarely,Research & Development,2,1,Life Sciences,1,2362,Male,4,Research Scientist,Divorced,44470,1.0,Y,13,8,0,7.0,4,7,0,7
2362,35,No,Travel_Rarely,Research & Development,2,3,Medical,1,2363,Female,2,Sales Executive,Married,21570,1.0,Y,25,8,0,16.0,1,16,1,10
2363,28,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,2364,Male,3,Manufacturing Director,Divorced,46010,0.0,Y,15,8,2,6.0,2,5,0,0
2364,21,No,Travel_Rarely,Research & Development,3,1,Life Sciences,1,2365,Female,1,Laboratory Technician,Single,170990,1.0,Y,14,8,1,3.0,2,2,2,2
2366,47,No,Travel_Rarely,Research & Development,25,4,Medical,1,2367,Male,2,Research Scientist,Married,148520,3.0,Y,19,8,3,27.0,3,5,1,0
2368,40,No,Travel_Rarely,Research & Development,22,1,Life Sciences,1,2369,Male,1,Laboratory Technician,Married,56660,1.0,Y,14,8,1,18.0,2,18,14,12
2369,35,No,Non-Travel,Research & Development,29,3,Medical,1,2370,Female,2,Sales Executive,Married,78230,1.0,Y,13,8,1,15.0,3,14,2,9
2370,37,No,Travel_Rarely,Research & Development,29,4,Technical Degree,1,2371,Male,1,Laboratory Technician,Married,78800,3.0,Y,12,8,1,9.0,2,4,0,2
2371,39,No,Travel_Frequently,Research & Development,2,3,Technical Degree,1,2372,Female,2,Manager,Single,131940,0.0,Y,11,8,0,10.0,2,9,3,8
2372,45,No,Travel_Rarely,Research & Development,28,3,Life Sciences,1,2373,Female,2,Laboratory Technician,Divorced,50670,1.0,Y,11,8,2,10.0,3,10,3,9
2373,38,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,2374,Female,3,Sales Executive,Married,50790,3.0,Y,11,8,0,10.0,3,5,0,2
2375,37,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,2376,Female,2,Healthcare Representative,Married,174440,1.0,Y,14,8,0,8.0,4,8,7,7
2376,40,No,Travel_Rarely,Research & Development,8,3,Technical Degree,1,2377,Female,2,Healthcare Representative,Single,24040,6.0,Y,17,8,0,18.0,2,4,3,3
2377,44,No,Travel_Frequently,Sales,2,2,Marketing,1,2378,Male,1,Laboratory Technician,Married,34520,4.0,Y,11,8,1,14.0,2,10,0,2
2378,48,No,Travel_Frequently,Sales,10,4,Marketing,1,2379,Female,3,Manager,Married,22700,2.0,Y,14,8,3,23.0,2,2,2,2
2380,24,No,Travel_Frequently,Research & Development,15,3,Life Sciences,1,2381,Male,2,Research Scientist,Single,54880,1.0,Y,22,8,1,6.0,6,6,1,3
2381,27,No,Travel_Rarely,Sales,10,4,Life Sciences,1,2382,Male,3,Sales Executive,Married,194190,7.0,Y,14,8,1,5.0,2,3,0,2
2382,27,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,2383,Male,1,Research Scientist,Single,28110,2.0,Y,20,8,0,6.0,3,4,1,2
2384,29,No,Travel_Rarely,Research & Development,20,1,Medical,1,2385,Female,2,Manager,Single,41630,9.0,Y,15,8,1,8.0,4,5,1,4
2385,36,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,2386,Female,3,Sales Executive,Married,21320,4.0,Y,20,8,0,9.0,1,3,0,2
